lk_id,lk,bundesland,population,population_male,population_female,lk_movement
9777,Ostallgäu,Bayern,141907,70780,71127,Landkreis Ostallgäu
9778,Unterallgäu,Bayern,146164,73644,72520,Landkreis Unterallgäu
9779,Donau-Ries,Bayern,134324,68098,66226,Landkreis Donau-Ries
9780,Oberallgäu,Bayern,156308,76957,79351,Landkreis Oberallgäu
10041,Regionalverband Saarbrücken,Saarland,327502,161076,166426,Regionalverband Saarbrücken
10042,Merzig-Wadern,Saarland,103471,51096,52375,Landkreis Merzig-Wadern
10043,Neunkirchen,Saarland,131172,64441,66731,Landkreis Neunkirchen
10044,Saarlouis,Saarland,193732,94934,98798,Landkreis Saarlouis
10045,Saarpfalz-Kreis,Saarland,141656,68857,72799,Saarpfalz-Kreis
10046,St. Wendel,Saarland,86458,42597,43861,Landkreis St. Wendel
11000,Stadt Berlin,Berlin,3664088,1802038,1862050,Berlin
12051,Stadt Brandenburg an der Havel,Brandenburg,72040,35480,36560,Brandenburg an der Havel
12052,Stadt Cottbus,Brandenburg,98693,48345,50348,Cottbus
12053,Stadt Frankfurt (Oder),Brandenburg,57015,27704,29311,Frankfurt (Oder)
12054,Stadt Potsdam,Brandenburg,182112,88122,93990,Potsdam
12060,Barnim,Brandenburg,187343,92800,94543,Landkreis Barnim
12061,Dahme-Spreewald,Brandenburg,173316,85908,87408,Landkreis Dahme-Spreewald
